case_id,transaction_amount,customer_order_count,previous_refunds,previous_disputes,delivery_confirmed,delivery_delay_days,dispute_delay_days,customer_avg_order_value,communication_count,refund_amount_ratio,payment_failures,evidence_items_available,evidence_items_missing,dispute_reason,contest_success
CASE-0001,9899.81,6,0,0,0,13,21,7919.11,0,0.253,2,3,3,defective,0
CASE-0002,5410.48,9,3,0,0,13,5,9746.93,0,0.377,0,2,4,unauthorized,0
CASE-0003,747.11,2,0,1,1,8,54,498.58,0,0.062,1,5,1,unauthorized,1
CASE-0004,19445.17,1,4,0,1,0,11,36611.73,4,0.845,0,5,1,item_not_received,1
CASE-0005,1925.41,9,2,0,1,0,47,4373.67,1,0.145,0,4,2,other,1
CASE-0006,1127.1,12,9,1,0,3,17,1978.8,0,1.0,1,2,4,item_not_received,0
CASE-0007,6133.81,6,0,2,0,24,56,7205.22,1,0.211,0,2,4,defective,0
CASE-0008,127825.72,11,7,0,1,0,21,108044.31,4,1.0,1,5,1,item_not_received,1
CASE-0009,296.09,17,9,0,1,0,4,332.2,0,1.0,6,4,2,other,0
CASE-0010,893.16,11,0,0,1,7,86,1212.91,4,0.29,0,5,1,defective,0
CASE-0011,19259.84,99,3,1,1,0,7,27922.72,12,0.694,0,5,1,defective,1
CASE-0012,4660.1,10,3,0,0,14,1,10117.89,0,0.618,0,2,4,unauthorized,0
CASE-0013,19983.89,27,0,1,1,8,4,8266.28,11,0.048,2,6,0,defective,1
CASE-0014,5474.75,3,0,2,1,0,41,7165.54,3,0.129,1,6,0,defective,1
CASE-0015,12997.78,11,0,0,1,0,15,22427.5,3,0.162,0,4,2,defective,1
CASE-0016,300.02,3,6,0,1,0,51,747.06,2,0.812,0,2,4,unauthorized,0
CASE-0017,3440.89,2,0,0,1,0,2,2876.82,4,0.136,0,4,2,item_not_received,1
CASE-0018,1097.87,4,0,4,1,0,1,1000.87,1,0.028,2,4,2,other,0
CASE-0019,718.81,6,9,7,1,13,43,1677.95,0,0.895,2,4,2,duplicate,0
CASE-0020,9224.4,39,6,0,1,0,4,9706.28,9,1.0,3,5,1,defective,1
CASE-0021,13421.72,18,0,0,1,9,29,23321.13,0,0.135,1,2,4,unauthorized,1
CASE-0022,19196.29,1,0,0,1,0,1,21997.21,4,0.077,0,6,0,duplicate,1
CASE-0023,636.47,3,3,0,1,4,1,345.85,0,0.792,0,3,3,item_not_received,1
CASE-0024,773.12,4,0,0,1,25,13,1745.74,0,0.151,0,4,2,item_not_received,1
CASE-0025,106270.74,1,0,0,1,18,23,261799.83,3,0.119,1,3,3,unauthorized,0
CASE-0026,17810.58,6,2,3,0,25,5,34479.87,5,0.342,0,3,3,unauthorized,0
CASE-0027,1432.21,57,0,0,1,0,9,3452.39,1,0.022,6,5,1,other,1
CASE-0028,1176.26,17,0,1,0,12,1,2671.84,4,0.054,1,5,1,duplicate,0
CASE-0029,10830.94,1,4,5,1,0,6,6083.71,2,0.553,5,5,1,duplicate,0
CASE-0030,47554.1,12,4,0,1,0,10,110709.53,3,0.835,0,2,4,item_not_received,1
CASE-0031,19055.64,10,1,0,1,0,5,9561.97,2,0.433,2,5,1,item_not_received,1
CASE-0032,1462.5,4,0,0,1,28,56,3186.44,2,0.268,6,3,3,duplicate,1
CASE-0033,664.06,3,0,1,1,23,36,480.58,2,0.318,1,5,1,defective,0
CASE-0034,11296.27,2,0,1,1,20,27,11379.87,12,0.055,0,6,0,unauthorized,1
CASE-0035,17494.42,17,0,0,0,22,5,13268.37,0,0.151,3,2,4,item_not_received,0
CASE-0036,15225.05,10,0,0,1,0,24,17475.51,4,0.061,0,4,2,duplicate,1
CASE-0037,551.88,11,0,0,1,0,15,414.94,13,0.01,2,4,2,defective,1
CASE-0038,19615.41,9,3,0,1,0,26,23520.3,3,0.384,0,6,0,unauthorized,1
CASE-0039,586.17,86,1,3,1,27,4,1053.3,0,0.576,1,5,1,item_not_received,0
CASE-0040,17401.56,4,0,4,1,0,28,9753.19,12,0.119,0,6,0,defective,1
CASE-0041,32585.32,37,3,1,1,0,15,81000.41,0,0.336,1,4,2,item_not_received,1
CASE-0042,1943.75,35,1,2,0,29,9,2907.25,14,0.412,0,2,4,item_not_received,0
CASE-0043,141703.0,2,0,0,0,7,4,292090.12,11,0.349,4,3,3,unauthorized,0
CASE-0044,503.97,12,9,0,1,0,3,858.13,5,1.0,0,5,1,defective,0
CASE-0045,16618.21,11,0,1,0,18,63,10631.18,1,0.189,0,4,2,unauthorized,0
CASE-0046,78271.28,9,0,0,0,5,2,99045.08,3,0.038,2,3,3,other,0
CASE-0047,91781.15,6,4,2,1,0,24,217096.54,2,0.784,0,4,2,duplicate,0
CASE-0048,623.46,1,2,2,1,0,64,240.04,1,0.41,0,4,2,item_not_received,0
CASE-0049,642.58,2,0,3,0,23,4,383.67,2,0.155,0,3,3,other,0
CASE-0050,18893.21,5,3,0,1,0,18,22090.4,13,0.629,2,3,3,other,1
CASE-0051,1775.97,98,3,1,1,28,17,2734.55,0,0.483,0,3,3,defective,1
CASE-0052,19253.28,16,2,1,0,6,1,46961.86,6,0.374,0,2,4,other,0
CASE-0053,10053.07,6,0,2,1,19,27,9820.48,4,0.11,0,6,0,defective,1
CASE-0054,600.26,17,0,3,1,0,21,274.96,2,0.047,0,4,2,item_not_received,0
CASE-0055,13279.51,2,3,2,0,22,5,11663.62,11,0.572,0,2,4,unauthorized,0
CASE-0056,12093.99,11,0,0,0,29,8,18367.85,1,0.099,0,4,2,item_not_received,1
CASE-0057,521.49,8,5,0,1,0,3,560.53,0,0.431,2,6,0,item_not_received,1
CASE-0058,1866.24,2,9,3,1,0,8,3083.81,2,1.0,0,4,2,unauthorized,0
CASE-0059,69166.07,67,2,0,1,29,14,135447.6,1,0.327,1,6,0,item_not_received,1
CASE-0060,945.84,15,0,0,1,0,25,1518.77,2,0.125,0,3,3,defective,1
CASE-0061,464.14,56,0,0,1,0,28,231.86,10,0.143,0,5,1,item_not_received,1
CASE-0062,1424.06,4,0,2,1,0,1,1976.77,0,0.21,1,6,0,other,1
CASE-0063,271.21,3,0,0,1,0,7,672.54,1,0.092,2,3,3,unauthorized,0
CASE-0064,15863.37,4,0,0,1,0,6,35950.12,4,0.149,0,3,3,unauthorized,1
CASE-0065,505.96,1,2,0,0,0,1,889.7,6,0.332,0,3,3,item_not_received,0
CASE-0066,7664.91,44,1,0,1,0,1,18316.63,12,0.137,0,6,0,unauthorized,1
CASE-0067,12575.35,1,3,0,1,0,7,17817.88,12,0.428,0,5,1,unauthorized,1
CASE-0068,1798.45,19,0,1,1,0,73,3532.71,1,0.24,1,6,0,other,0
