threshold,precision,recall,f1,tp,fp,tn,fn,fp_cost,fn_cost,total_cost,gross_recovery,net_recovery
0.05,0.6249,0.9928,0.767,1106,664,222,8,664000.0,108211.39,772211.39,28616959.64,27399959.64
0.1,0.6759,0.9829,0.801,1095,525,361,19,525000.0,541009.69,1066009.69,28184161.34,27111661.34
0.15,0.7124,0.974,0.8229,1085,438,448,29,438000.0,943562.05,1381562.05,27781608.98,26801108.98
0.2,0.7378,0.9623,0.8352,1072,381,505,42,381000.0,1557073.36,1938073.36,27168097.67,26251097.67
0.25,0.7607,0.956,0.8473,1065,335,551,49,335000.0,1780185.63,2115185.63,26944985.4,26077485.4
0.3,0.7815,0.9506,0.8578,1059,296,590,55,296000.0,1913883.21,2209883.21,26811287.82,25985787.82
0.35,0.7968,0.9434,0.864,1051,268,618,63,268000.0,2092881.66,2360881.66,26632289.37,25838789.37
0.4,0.8133,0.9309,0.8681,1037,238,648,77,238000.0,2529448.6,2767448.6,26195722.43,25439222.43
0.45,0.8252,0.9156,0.8681,1020,216,670,94,216000.0,3040869.79,3256869.79,25684301.24,24958301.24
0.5,0.8315,0.8995,0.8642,1002,203,683,112,203000.0,3413861.97,3616861.97,25311309.06,24607309.06
0.55,0.8432,0.8833,0.8628,984,183,703,130,183000.0,3926997.9,4109997.9,24798173.13,24123173.13
0.6,0.847,0.8501,0.8486,947,171,715,167,171000.0,5104490.69,5275490.69,23620680.34,22976180.34
0.65,0.859,0.8151,0.8365,908,149,737,206,149000.0,5779924.7,5928924.7,22945246.33,22342246.33
0.7,0.8735,0.7684,0.8176,856,124,762,258,124000.0,6779546.61,6903546.61,21945624.42,21393624.42
0.75,0.8858,0.6966,0.7799,776,100,786,338,100000.0,8981185.64,9081185.64,19743985.39,19255985.39
0.8,0.9041,0.6176,0.7339,688,73,813,426,73000.0,11571436.47,11644436.47,17153734.56,16736734.56
0.85,0.9299,0.5,0.6503,557,42,844,557,42000.0,15182236.68,15224236.68,13542934.35,13222434.35
0.9,0.9453,0.3411,0.5013,380,22,864,734,22000.0,20096498.77,20118498.77,8628672.26,8416672.26
0.95,0.9704,0.1176,0.2098,131,4,882,983,4000.0,25806286.22,25810286.22,2918884.81,2849384.81
