threshold,precision,recall,f1,tp,fp,tn,fn,fp_cost,fn_cost,total_cost,gross_recovery,net_recovery,automation_rate,contest_rate
0.05,0.6249,0.9928,0.767,1106,664,222,8,664000,108211.0,772211.0,28616960.0,27399960.0,0.664,0.885
0.1,0.6759,0.9829,0.801,1095,525,361,19,525000,541010.0,1066010.0,28184161.0,27111661.0,0.728,0.81
0.15,0.7124,0.974,0.8229,1085,438,448,29,438000,943562.0,1381562.0,27781609.0,26801109.0,0.7665,0.7615
0.2,0.7378,0.9623,0.8352,1072,381,505,42,381000,1557073.0,1938073.0,27168098.0,26251098.0,0.7885,0.7265
0.25,0.7607,0.956,0.8473,1065,335,551,49,335000,1780186.0,2115186.0,26944985.0,26077485.0,0.808,0.7
0.3,0.7815,0.9506,0.8578,1059,296,590,55,296000,1913883.0,2209883.0,26811288.0,25985788.0,0.8245,0.6775
0.35,0.7968,0.9434,0.864,1051,268,618,63,268000,2092882.0,2360882.0,26632289.0,25838789.0,0.8345,0.6595
0.4,0.8133,0.9309,0.8681,1037,238,648,77,238000,2529449.0,2767449.0,26195722.0,25439222.0,0.8425,0.6375
0.45,0.8252,0.9156,0.8681,1020,216,670,94,216000,3040870.0,3256870.0,25684301.0,24958301.0,0.845,0.618
0.5,0.8315,0.8995,0.8642,1002,203,683,112,203000,3413862.0,3616862.0,25311309.0,24607309.0,0.8425,0.6025
0.55,0.8432,0.8833,0.8628,984,183,703,130,183000,3926998.0,4109998.0,24798173.0,24123173.0,0.8435,0.5835
0.6,0.847,0.8501,0.8486,947,171,715,167,171000,5104491.0,5275491.0,23620680.0,22976180.0,0.831,0.559
0.65,0.859,0.8151,0.8365,908,149,737,206,149000,5779925.0,5928925.0,22945246.0,22342246.0,0.8225,0.5285
0.7,0.8735,0.7684,0.8176,856,124,762,258,124000,6779547.0,6903547.0,21945624.0,21393624.0,0.809,0.49
0.75,0.8858,0.6966,0.7799,776,100,786,338,100000,8981186.0,9081186.0,19743985.0,19255985.0,0.781,0.438
0.8,0.9041,0.6176,0.7339,688,73,813,426,73000,11571436.0,11644436.0,17153735.0,16736735.0,0.7505,0.3805
