threshold,precision,recall,f1,tp,fp,tn,fn,fp_cost,fn_cost,total_cost,gross_recovery,net_recovery
0.05,0.6526,0.9883,0.7861,1101,586,300,13,586000.0,278784.78,864784.78,28446386.25,27309886.25
0.1,0.7097,0.9722,0.8205,1083,443,443,31,443000.0,1217881.48,1660881.48,27507289.55,26522789.55
0.15,0.7427,0.9614,0.838,1071,371,515,43,371000.0,1485390.59,1856390.59,27239780.44,26333280.44
0.2,0.7626,0.9488,0.8456,1057,329,557,57,329000.0,2076466.81,2405466.81,26648704.22,25791204.22
0.25,0.7804,0.9345,0.8505,1041,293,593,73,293000.0,2421391.84,2714391.84,26303779.19,25490279.19
0.3,0.7937,0.9219,0.853,1027,267,619,87,267000.0,2768469.85,3035469.85,25956701.18,25176201.18
0.35,0.8037,0.9075,0.8524,1011,247,639,103,247000.0,3332334.46,3579334.46,25392836.57,24640336.57
0.4,0.8141,0.8923,0.8514,994,227,659,120,227000.0,3474348.19,3701348.19,25250822.84,24526822.84
0.45,0.8246,0.8779,0.8504,978,208,678,136,208000.0,3963254.12,4171254.12,24761916.91,24064916.91
0.5,0.8297,0.8528,0.8411,950,195,691,164,195000.0,5022203.67,5217203.67,23702967.36,23032967.36
0.55,0.842,0.8276,0.8348,922,173,713,192,173000.0,6258786.37,6431786.37,22466384.66,21832384.66
0.6,0.8517,0.7989,0.8245,890,155,731,224,155000.0,7044499.05,7199499.05,21680671.98,21080671.98
0.65,0.8671,0.7612,0.8107,848,130,756,266,130000.0,7752614.44,7882614.44,20972556.59,20418556.59
0.7,0.8747,0.7145,0.7866,796,114,772,318,114000.0,9082365.36,9196365.36,19642805.67,19130805.67
0.75,0.8874,0.6652,0.7604,741,94,792,373,94000.0,10264134.89,10358134.89,18461036.14,17996536.14
0.8,0.9072,0.588,0.7135,655,67,819,459,67000.0,12052602.04,12119602.04,16672568.99,16278068.99
0.85,0.9179,0.4919,0.6406,548,49,837,566,49000.0,14884739.04,14933739.04,13840431.99,13517431.99
0.9,0.9289,0.3636,0.5226,405,31,855,709,31000.0,18620533.12,18651533.12,10104637.91,9871137.91
0.95,0.9429,0.2074,0.34,231,14,872,883,14000.0,22617334.6,22631334.6,6107836.43,5978336.43
